pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_80g左右,specInfo_65g左右,specInfo_125g左右,specInfo_110g左右,specInfo_100g左右,specInfo_75g左右,specInfo_150g左右,prodPcat_虾蟹类,prodPcat_其他类
2022-07-22,41.0,203,4,7,-0.3456123126707333,-0.9383773917408642,41.0,40.0,40.0,40.0,40.166666666666664,True,False,False,False,False,False,False,True,False
2022-07-22,80.0,203,4,7,-0.3456123126707333,-0.9383773917408642,80.0,80.0,80.0,67.5,80.0,False,False,False,False,False,False,True,False,True
2022-07-22,73.5,203,4,7,-0.3456123126707333,-0.9383773917408642,73.5,73.5,73.5,73.5,73.5,False,False,True,False,False,False,False,True,False
2022-07-22,42.5,203,4,7,-0.3456123126707333,-0.9383773917408642,42.5,42.5,42.5,42.5,42.5,False,False,False,False,True,False,False,True,False
2022-07-23,42.5,204,5,7,-0.3617137307297674,-0.9322892131745134,42.5,42.5,42.5,33.0,42.5,False,False,False,False,False,True,False,False,True
2022-07-23,71.0,204,5,7,-0.3617137307297674,-0.9322892131745134,71.0,71.0,71.0,59.5,71.0,False,False,True,False,False,False,False,False,True
2022-07-23,57.5,204,5,7,-0.3617137307297674,-0.9322892131745134,57.5,57.5,57.5,57.5,57.5,False,False,False,False,False,False,True,True,False
2022-07-23,32.5,204,5,7,-0.3617137307297674,-0.9322892131745134,31.0,30.0,30.0,30.0,30.25,False,True,False,False,False,False,False,True,False
2022-07-23,73.5,204,5,7,-0.3617137307297674,-0.9322892131745134,73.5,73.5,73.5,73.5,73.5,False,False,False,True,False,False,False,True,False
2022-07-23,73.5,204,5,7,-0.3617137307297674,-0.9322892131745134,73.5,73.5,73.5,73.5,73.5,False,False,True,False,False,False,False,True,False
2022-07-23,62.5,204,5,7,-0.3617137307297674,-0.9322892131745134,62.5,62.5,62.5,42.5,62.5,False,False,False,False,True,False,False,False,True
2022-07-23,50.0,204,5,7,-0.3617137307297674,-0.9322892131745134,50.0,50.0,50.0,50.0,50.0,False,False,False,False,False,True,False,True,False
2022-07-23,42.5,204,5,7,-0.3617137307297674,-0.9322892131745134,41.0,40.0,40.0,40.0,40.25,True,False,False,False,False,False,False,True,False
2022-07-23,80.0,204,5,7,-0.3617137307297674,-0.9322892131745134,80.0,80.0,80.0,67.5,80.0,False,False,False,False,False,False,True,False,True
2022-07-23,42.5,204,5,7,-0.3617137307297674,-0.9322892131745134,42.5,42.5,42.5,42.5,42.5,False,False,False,False,True,False,False,True,False
2022-07-24,73.5,205,6,7,-0.37770796520396466,-0.9259247771938499,73.5,73.5,73.5,73.5,73.5,False,False,False,True,False,False,False,True,False
2022-07-24,42.5,205,6,7,-0.37770796520396466,-0.9259247771938499,42.5,42.5,42.5,42.5,42.5,False,False,False,False,True,False,False,True,False
2022-07-24,80.0,205,6,7,-0.37770796520396466,-0.9259247771938499,80.0,80.0,80.0,67.5,80.0,False,False,False,False,False,False,True,False,True
