pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_腌渍,prodPcat_其他类
2022-09-24,10.0,267,5,9,-0.9932568492674143,-0.11593459959550066,10.0,10.0,10.0,8.5,10.0,True,True
2022-09-25,10.0,268,6,9,-0.9951053111006974,-0.09882013873287211,10.0,10.0,10.0,8.5,10.0,True,True
2022-09-26,10.0,269,0,9,-0.99665890175417,-0.08167639533042288,10.0,10.0,10.0,8.5,10.0,True,True
2022-09-27,10.0,270,1,9,-0.9979171608653922,-0.06450844944931625,10.0,10.0,10.0,8.5,10.0,True,True
2022-09-28,10.0,271,2,9,-0.9988797155850335,-0.04732138832243232,10.0,10.0,10.0,8.5,10.0,True,True
2022-09-29,10.0,272,3,9,-0.9995462806873573,-0.03012030484690836,10.0,10.0,10.0,8.5,10.0,True,True
2022-09-30,10.0,273,4,9,-0.9999166586547379,-0.012910296075008843,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-01,10.0,274,5,10,-0.9999907397361901,0.004303538296243821,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-02,10.0,275,6,10,-0.9997685019798909,0.021516097436222233,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-03,10.0,276,0,10,-0.9992500112396835,0.03872228089217399,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-04,10.0,277,1,10,-0.9984354211555643,0.05591699010060302,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-05,10.0,278,2,10,-0.9973249731081555,0.07309512989807776,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-06,10.0,279,3,10,-0.9959189961471792,0.0902516100310407,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-07,10.0,280,4,10,-0.994217906893952,0.10738134666416306,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-08,10.0,281,5,10,-0.9922222094179324,0.12447926388678869,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-09,10.0,282,6,10,-0.989932495087353,0.141540295217043,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-10,10.0,283,0,10,-0.9873494423939864,0.15855938510313475,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-11,10.0,284,1,10,-0.9844738167520923,0.17553149042142777,10.0,10.0,10.0,8.5,10.0,True,True
2022-10-12,9.5,285,2,10,-0.9813064702716093,0.19245158197082995,10.0,10.0,10.0,8.5,9.983333333333333,True,True
2022-10-13,10.5,286,3,10,-0.9778483415056567,0.20931464596304888,9.5,10.0,10.0,8.5,10.0,True,True
2022-10-14,11.5,287,4,10,-0.9741004551724206,0.22611568550828803,10.5,10.0,10.0,8.5,10.05,True,True
2022-10-15,11.5,288,5,10,-0.970063921851507,0.2428497220959358,11.5,10.0,10.0,8.5,10.1,True,True
2022-10-16,11.5,289,6,10,-0.965739937654855,0.25951179706979943,11.5,10.0,10.0,8.5,10.15,True,True
2022-10-17,11.5,290,0,10,-0.9611297838723007,0.27609697309746883,11.5,10.0,10.0,8.5,10.2,True,True
2022-10-18,11.5,291,1,10,-0.9562348265919058,0.2926003356333479,11.5,10.0,10.0,8.5,10.25,True,True
2022-10-19,11.5,292,2,10,-0.9510565162951536,0.30901699437494723,11.5,9.5,10.0,8.5,10.3,True,True
2022-10-20,11.5,293,3,10,-0.9455963874271428,0.3253420847119795,11.5,10.5,10.0,8.5,10.35,True,True
2022-10-21,11.5,294,4,10,-0.9398560579418953,0.341570769167856,11.5,11.5,10.0,8.5,10.4,True,True
2022-10-22,11.5,295,5,10,-0.9338372288229252,0.35769823883312546,11.5,11.5,10.0,8.5,10.45,True,True
2022-10-23,11.5,296,6,10,-0.9275416835791965,0.3737197147904692,11.5,11.5,10.0,8.5,10.5,True,True
2022-10-24,11.5,297,0,10,-0.9209712877166347,0.38963044953078774,11.5,11.5,10.0,8.5,10.55,True,True
2022-10-25,11.5,298,1,10,-0.9141279881853337,0.4054257283599973,11.5,11.5,10.0,8.5,10.6,True,True
2022-10-26,11.5,299,2,10,-0.9070138128026362,0.42110087079608916,11.5,11.5,10.0,8.5,10.65,True,True
2022-10-27,11.5,300,3,10,-0.8996308696522434,0.4366512319560638,11.5,11.5,10.0,8.5,10.7,True,True
2022-10-28,11.5,301,4,10,-0.8919813464595487,0.45207220393230374,11.5,11.5,10.0,8.5,10.75,True,True
2022-10-29,11.5,302,5,10,-0.8840675099433637,0.46735921715800205,11.5,11.5,10.0,8.5,10.8,True,True
2022-10-30,11.5,303,6,10,-0.8758917051442433,0.48250774176121763,11.5,11.5,10.0,8.5,10.85,True,True
2022-10-31,11.5,304,0,10,-0.8674563547295971,0.4975132889071803,11.5,11.5,10.0,8.5,10.9,True,True
2022-11-01,11.5,305,1,11,-0.858763958275803,0.5123714121284235,11.5,11.5,10.0,8.5,10.95,True,True
2022-11-02,11.5,306,2,11,-0.8498170915275277,0.5270777086423724,11.5,11.5,10.0,8.5,11.0,True,True
2022-11-03,11.5,307,3,11,-0.8406184056344783,0.5416278206559811,11.5,11.5,10.0,8.5,11.05,True,True
2022-11-04,11.5,308,4,11,-0.8311706263658079,0.5560174366570446,11.5,11.5,10.0,8.5,11.1,True,True
2022-11-05,11.5,309,5,11,-0.8214765533024145,0.5702422926917867,11.5,11.5,10.0,8.5,11.15,True,True
2022-11-06,11.5,310,6,11,-0.8115390590073611,0.5842981736283683,11.5,11.5,10.0,8.5,11.2,True,True
2022-11-07,11.5,311,0,11,-0.801361088174677,0.5981809144059158,11.5,11.5,10.0,8.5,11.25,True,True
2022-11-08,11.5,312,1,11,-0.7909456567567774,0.6118864012687242,11.5,11.5,10.0,8.5,11.3,True,True
2022-11-09,11.5,313,2,11,-0.780295851070776,0.6254105729852457,11.5,11.5,10.0,8.5,11.35,True,True
2022-11-10,11.5,314,3,11,-0.7694148268839381,0.6387494220515268,11.5,11.5,10.0,8.5,11.4,True,True
2022-11-11,11.5,315,4,11,-0.7583058084785625,0.6518989958787125,11.5,11.5,9.5,8.5,11.466666666666667,True,True
2022-11-12,11.5,316,5,11,-0.7469720876965551,0.6648553979642866,11.5,11.5,10.5,8.5,11.5,True,True
2022-11-13,11.5,317,6,11,-0.7354170229639858,0.6776147890466887,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-14,11.5,318,0,11,-0.7236440382959124,0.690173388242972,11.5,11.5,11.5,8.5,11.5,True,True
2022-11-15,11.5,319,1,11,-0.711656622281775,0.7025274741691566,11.5,11.5,11.5,8.5,11.5,True,True
