pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_红心,specInfo_UNKNOWN,prodPcat_进口果
2022-08-25,5.0,237,3,8,-0.8064799463209447,-0.5912614448635782,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-25,4.516666666666667,237,3,8,-0.8064799463209447,-0.5912614448635782,4.533333333333333,4.6,4.75,3.75,4.639166666666666,False,True,True
2022-08-26,4.5,238,4,8,-0.8165380514459157,-0.5772916165517278,4.516666666666667,4.6,4.75,3.75,4.6308333333333325,False,True,True
2022-08-26,5.0,238,4,8,-0.8165380514459157,-0.5772916165517278,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-27,4.483333333333333,239,5,8,-0.8263541987239094,-0.5631507242749187,4.5,4.6,4.75,3.75,4.621944444444444,False,True,True
2022-08-27,5.0,239,5,8,-0.8263541987239094,-0.5631507242749187,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-28,4.466666666666667,240,6,8,-0.8359254794186365,-0.5488429582847199,4.483333333333333,4.583333333333333,4.75,3.75,4.612499999999999,False,True,True
2022-08-28,5.0,240,6,8,-0.8359254794186365,-0.5488429582847199,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-29,5.0,241,0,8,-0.8452490573530634,-0.5343725582809785,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-29,4.45,241,0,8,-0.8452490573530634,-0.5343725582809785,4.466666666666667,4.566666666666666,4.75,3.75,4.6025,False,True,True
2022-08-30,5.0,242,1,8,-0.8543221697498269,-0.5197438121555157,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-30,4.433333333333334,242,1,8,-0.8543221697498269,-0.5197438121555157,4.45,4.55,4.75,3.75,4.591944444444445,False,True,True
2022-08-31,5.0,243,2,8,-0.8631421280499115,-0.5049610547215202,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-08-31,4.416666666666666,243,2,8,-0.8631421280499115,-0.5049610547215202,4.433333333333334,4.533333333333333,4.735,3.75,4.581333333333333,False,True,True
2022-09-01,5.0,244,3,9,-0.8717063187093217,-0.4900286664290594,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-01,4.3999999999999995,244,3,9,-0.8717063187093217,-0.4900286664290594,4.416666666666666,4.516666666666667,4.72,3.75,4.570666666666667,False,True,True
2022-09-02,5.0,245,4,9,-0.8800122039735356,-0.4749510720670502,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-02,4.383333333333333,245,4,9,-0.8800122039735356,-0.4749510720670502,4.3999999999999995,4.5,4.705,3.75,4.559944444444444,False,True,True
2022-09-03,4.366666666666666,246,5,9,-0.888057322629493,-0.4597327394521046,4.383333333333333,4.483333333333333,4.6899999999999995,3.75,4.549166666666666,False,True,True
2022-09-03,5.0,246,5,9,-0.888057322629493,-0.4597327394521046,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-04,5.0,247,6,9,-0.8958392907349089,-0.4443781781046134,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-04,4.35,247,6,9,-0.8958392907349089,-0.4443781781046134,4.366666666666666,4.466666666666667,4.675,3.75,4.538333333333333,False,True,True
2022-09-05,5.0,248,0,9,-0.9033558023246842,-0.4288919379124841,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-05,4.333333333333333,248,0,9,-0.9033558023246842,-0.4288919379124841,4.35,4.45,4.66,3.75,4.527444444444444,False,True,True
2022-09-06,5.0,249,1,9,-0.9106046300942162,-0.41327860778290443,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-06,4.316666666666666,249,1,9,-0.9106046300942162,-0.41327860778290443,4.333333333333333,4.433333333333334,4.645,3.75,4.5165,False,True,True
2022-09-07,4.3,250,2,9,-0.9175836260593934,-0.3975428142825566,4.316666666666666,4.416666666666666,4.63,3.75,4.5055,False,True,True
2022-09-07,5.0,250,2,9,-0.9175836260593934,-0.3975428142825566,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-08,5.0,251,3,9,-0.9242907221930934,-0.3816892202666586,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-08,4.283333333333333,251,3,9,-0.9242907221930934,-0.3816892202666586,4.3,4.3999999999999995,4.614999999999999,3.75,4.494444444444444,False,True,True
2022-09-09,5.0,252,4,9,-0.9307239310379793,-0.3657225234972692,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-09,4.266666666666667,252,4,9,-0.9307239310379793,-0.3657225234972692,4.283333333333333,4.383333333333333,4.6,3.75,4.483333333333333,False,True,True
2022-09-10,5.0,253,5,9,-0.9368813462954315,-0.34964745525122826,5.0,5.0,5.0,5.5,5.0,True,False,True
2022-09-10,4.25,253,5,9,-0.9368813462954315,-0.34964745525122826,4.266666666666667,4.366666666666666,4.6,3.75,4.471666666666667,False,True,True
2022-09-11,4.2375,254,6,9,-0.9427611433904206,-0.33346877891818705,4.25,4.35,4.6,3.75,4.459583333333333,False,True,True
2022-09-11,5.0,254,6,9,-0.9427611433904206,-0.33346877891818705,5.0,5.0,5.0,5.4625,5.0,True,False,True
2022-09-12,4.225,255,0,9,-0.9483615800121716,-0.31719128858910595,4.2375,4.333333333333333,4.6,3.75,4.4470833333333335,False,True,True
2022-09-12,5.0,255,0,9,-0.9483615800121716,-0.31719128858910595,5.0,5.0,5.0,5.425,5.0,True,False,True
2022-09-13,5.0,256,1,9,-0.9536809966304455,-0.300819807635668,5.0,5.0,5.0,5.3875,5.0,True,False,True
2022-09-13,4.2125,256,1,9,-0.9536809966304455,-0.300819807635668,4.225,4.316666666666666,4.6,3.75,4.434166666666667,False,True,True
2022-09-14,4.2,257,2,9,-0.9587178169872964,-0.2843591872810036,4.2125,4.3,4.6,3.75,4.420833333333333,False,True,True
2022-09-14,5.0,257,2,9,-0.9587178169872964,-0.2843591872810036,5.0,5.0,5.0,5.35,5.0,True,False,True
2022-09-15,5.0,258,3,9,-0.9634705485641486,-0.26781430516217486,5.0,5.0,5.0,5.3125,5.0,True,False,True
2022-09-15,4.1875,258,3,9,-0.9634705485641486,-0.26781430516217486,4.2,4.283333333333333,4.6,3.75,4.4070833333333335,False,True,True
2022-09-16,5.0,259,4,9,-0.9679377830240642,-0.25119006388481957,5.0,5.0,5.0,5.275,5.0,True,False,True
2022-09-16,4.175,259,4,9,-0.9679377830240642,-0.25119006388481957,4.1875,4.266666666666667,4.6,3.75,4.392916666666666,False,True,True
2022-09-17,4.1625,260,5,9,-0.9721181966290612,-0.23449138957041052,4.175,4.25,4.6,3.75,4.378333333333333,False,True,True
2022-09-17,5.0,260,5,9,-0.9721181966290612,-0.23449138957041052,5.0,5.0,5.0,5.2375,5.0,True,False,True
2022-09-18,4.15,261,6,9,-0.9760105506323682,-0.21772323039653224,4.1625,4.2375,4.6,3.75,4.363333333333333,False,True,True
2022-09-18,5.0,261,6,9,-0.9760105506323682,-0.21772323039653224,5.0,5.0,5.0,5.2,5.0,True,False,True
2022-09-19,4.1375,262,0,9,-0.9796136916454901,-0.20089055513063528,4.15,4.225,4.6,3.75,4.347916666666666,False,True,True
2022-09-19,5.0,262,0,9,-0.9796136916454901,-0.20089055513063528,5.0,5.0,5.0,5.1625,5.0,True,False,True
2022-09-20,4.125,263,1,9,-0.9829265519799822,-0.18399835165767986,4.1375,4.2125,4.583333333333333,3.75,4.332638888888889,False,True,True
2022-09-20,5.0,263,1,9,-0.9829265519799822,-0.18399835165767986,5.0,5.0,5.0,5.125,5.0,True,False,True
2022-09-21,5.0,264,2,9,-0.9859481499638303,-0.1670516255021195,5.0,5.0,5.0,5.0875,5.0,True,False,True
2022-09-21,4.1125,264,2,9,-0.9859481499638303,-0.1670516255021195,4.125,4.2,4.566666666666666,3.75,4.3175,False,True,True
2022-09-22,4.1,265,3,9,-0.9886775902323404,-0.15005539834465262,4.1125,4.1875,4.55,3.75,4.302499999999999,False,True,True
2022-09-22,5.0,265,3,9,-0.9886775902323404,-0.15005539834465262,5.0,5.0,5.0,5.05,5.0,True,False,True
2022-09-23,4.0875,266,4,9,-0.9911140639934546,-0.13301470653419636,4.1,4.175,4.533333333333333,3.75,4.287638888888889,False,True,True
2022-09-23,5.0,266,4,9,-0.9911140639934546,-0.13301470653419636,5.0,5.0,5.0,5.0125,5.0,True,False,True
2022-09-24,5.0,267,5,9,-0.9932568492674143,-0.11593459959550066,5.0,5.0,5.0,4.975,5.0,True,False,True
2022-09-24,4.075,267,5,9,-0.9932568492674143,-0.11593459959550066,4.0875,4.1625,4.516666666666667,3.75,4.272916666666666,False,True,True
2022-09-25,5.0,268,6,9,-0.9951053111006974,-0.09882013873287211,5.0,5.0,5.0,4.9375,5.0,True,False,True
2022-09-25,4.0625,268,6,9,-0.9951053111006974,-0.09882013873287211,4.075,4.15,4.5,3.75,4.258333333333334,False,True,True
2022-09-26,5.0,269,0,9,-0.99665890175417,-0.08167639533042288,5.0,5.0,5.0,4.9,5.0,True,False,True
2022-09-26,4.05,269,0,9,-0.99665890175417,-0.08167639533042288,4.0625,4.1375,4.483333333333333,3.75,4.243888888888889,False,True,True
2022-09-27,4.0375,270,1,9,-0.9979171608653922,-0.06450844944931625,4.05,4.125,4.466666666666667,3.75,4.229583333333333,False,True,True
2022-09-27,5.0,270,1,9,-0.9979171608653922,-0.06450844944931625,5.0,5.0,5.0,4.8625,5.0,True,False,True
