pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_标桂,prodPcat_淡水鱼
2022-09-01,69.0,244,3,9,-0.8717063187093217,-0.4900286664290594,70.0,75.0,54.5,55.0,62.34166666666667,True,True
2022-09-02,68.0,245,4,9,-0.8800122039735356,-0.4749510720670502,69.0,73.33333333333333,54.5,50.0,62.791666666666664,True,True
2022-09-03,68.0,246,5,9,-0.888057322629493,-0.4597327394521046,68.0,71.66666666666667,54.0,50.0,63.25833333333333,True,True
2022-09-04,68.0,247,6,9,-0.8958392907349089,-0.4443781781046134,68.0,70.0,54.0,50.0,63.725,True,True
2022-09-05,68.0,248,0,9,-0.9033558023246842,-0.4288919379124841,68.0,70.0,54.0,50.0,64.19166666666666,True,True
2022-09-06,68.0,249,1,9,-0.9106046300942162,-0.41327860778290443,68.0,70.0,54.0,50.0,64.65833333333333,True,True
2022-09-07,68.0,250,2,9,-0.9175836260593934,-0.3975428142825566,68.0,70.0,54.25,50.0,65.11666666666666,True,True
2022-09-08,68.0,251,3,9,-0.9242907221930934,-0.3816892202666586,68.0,69.0,54.5,50.0,65.56666666666666,True,True
2022-09-09,68.0,252,4,9,-0.9307239310379793,-0.3657225234972692,68.0,68.0,54.5,50.0,66.01666666666667,True,True
2022-09-10,68.0,253,5,9,-0.9368813462954315,-0.34964745525122826,68.0,68.0,54.5,50.0,66.46666666666667,True,True
2022-09-11,68.0,254,6,9,-0.9427611433904206,-0.33346877891818705,68.0,68.0,54.5,50.0,66.91666666666667,True,True
2022-09-12,65.0,255,0,9,-0.9483615800121716,-0.31719128858910595,68.0,68.0,54.5,50.0,67.26666666666667,True,True
2022-09-13,65.0,256,1,9,-0.9536809966304455,-0.300819807635668,65.0,68.0,54.5,50.0,67.61666666666666,True,True
2022-09-14,65.0,257,2,9,-0.9587178169872964,-0.2843591872810036,65.0,68.0,54.5,50.0,67.96666666666667,True,True
2022-09-15,65.0,258,3,9,-0.9634705485641486,-0.26781430516217486,65.0,68.0,55.5,50.0,68.28333333333333,True,True
2022-09-16,65.0,259,4,9,-0.9679377830240642,-0.25119006388481957,65.0,68.0,55.5,50.0,68.6,True,True
2022-09-17,65.0,260,5,9,-0.9721181966290612,-0.23449138957041052,65.0,68.0,59.0,50.0,68.8,True,True
2022-09-18,65.0,261,6,9,-0.9760105506323682,-0.21772323039653224,65.0,68.0,62.5,50.0,68.88333333333334,True,True
2022-09-19,65.0,262,0,9,-0.9796136916454901,-0.20089055513063528,65.0,65.0,66.66666666666667,50.0,68.82777777777777,True,True
2022-09-20,65.0,263,1,9,-0.9829265519799822,-0.18399835165767986,65.0,65.0,70.83333333333333,50.0,68.63333333333334,True,True
2022-09-21,65.0,264,2,9,-0.9859481499638303,-0.1670516255021195,65.0,65.0,75.0,49.0,68.3,True,True
2022-09-22,65.0,265,3,9,-0.9886775902323404,-0.15005539834465262,65.0,65.0,75.0,49.0,67.96666666666667,True,True
2022-09-23,65.0,266,4,9,-0.9911140639934546,-0.13301470653419636,65.0,65.0,75.0,46.5,67.63333333333334,True,True
2022-09-24,65.0,267,5,9,-0.9932568492674143,-0.11593459959550066,65.0,65.0,75.0,46.5,67.3,True,True
2022-09-25,65.0,268,6,9,-0.9951053111006974,-0.09882013873287211,65.0,65.0,73.33333333333333,46.5,67.02222222222223,True,True
2022-09-26,65.0,269,0,9,-0.99665890175417,-0.08167639533042288,65.0,65.0,71.66666666666667,46.5,66.8,True,True
2022-09-27,65.0,270,1,9,-0.9979171608653922,-0.06450844944931625,65.0,65.0,70.0,46.5,66.63333333333334,True,True
2022-09-28,57.5,271,2,9,-0.9988797155850335,-0.04732138832243232,65.0,65.0,70.0,46.5,66.21666666666667,True,True
2022-09-29,57.5,272,3,9,-0.9995462806873573,-0.03012030484690836,57.5,65.0,70.0,46.5,65.8,True,True
2022-09-30,57.5,273,4,9,-0.9999166586547379,-0.012910296075008843,57.5,65.0,70.0,46.5,65.38333333333334,True,True
2022-10-01,57.5,274,5,10,-0.9999907397361901,0.004303538296243821,57.5,65.0,69.0,46.5,65.0,True,True
2022-10-02,57.5,275,6,10,-0.9997685019798909,0.021516097436222233,57.5,65.0,68.0,46.0,64.65,True,True
2022-10-03,57.5,276,0,10,-0.9992500112396835,0.03872228089217399,57.5,65.0,68.0,46.0,64.3,True,True
2022-10-04,57.5,277,1,10,-0.9984354211555643,0.05591699010060302,57.5,65.0,68.0,46.0,63.95,True,True
2022-10-05,57.5,278,2,10,-0.9973249731081555,0.07309512989807776,57.5,57.5,68.0,46.0,63.6,True,True
2022-10-06,52.5,279,3,10,-0.9959189961471792,0.0902516100310407,57.5,57.5,68.0,46.0,63.083333333333336,True,True
2022-10-07,51.666666666666664,280,4,10,-0.994217906893952,0.10738134666416306,52.5,57.5,68.0,45.0,62.53888888888889,True,True
2022-10-08,50.833333333333336,281,5,10,-0.9922222094179324,0.12447926388678869,51.666666666666664,57.5,68.0,45.0,61.96666666666667,True,True
2022-10-09,50.0,282,6,10,-0.989932495087353,0.141540295217043,50.833333333333336,57.5,68.0,45.0,61.36666666666667,True,True
2022-10-10,46.5,283,0,10,-0.9873494423939864,0.15855938510313475,50.0,57.5,68.0,45.0,60.65,True,True
2022-10-11,46.5,284,1,10,-0.9844738167520923,0.17553149042142777,46.5,57.5,68.0,45.0,59.93333333333333,True,True
2022-10-12,46.5,285,2,10,-0.9813064702716093,0.19245158197082995,46.5,57.5,65.0,45.0,59.31666666666667,True,True
2022-10-13,46.5,286,3,10,-0.9778483415056567,0.20931464596304888,46.5,52.5,65.0,45.0,58.7,True,True
2022-10-14,46.0,287,4,10,-0.9741004551724206,0.22611568550828803,46.5,51.666666666666664,65.0,45.0,58.06666666666667,True,True
2022-10-15,46.0,288,5,10,-0.970063921851507,0.2428497220959358,46.0,50.833333333333336,65.0,45.0,57.43333333333333,True,True
2022-10-16,41.5,289,6,10,-0.965739937654855,0.25951179706979943,46.0,50.0,65.0,45.0,56.65,True,True
2022-10-17,41.0,290,0,10,-0.9611297838723007,0.27609697309746883,41.5,46.5,65.0,45.0,55.85,True,True
2022-10-18,41.0,291,1,10,-0.9562348265919058,0.2926003356333479,41.0,46.5,65.0,45.0,55.05,True,True
2022-10-19,41.0,292,2,10,-0.9510565162951536,0.30901699437494723,41.0,46.5,65.0,45.0,54.25,True,True
2022-10-20,41.0,293,3,10,-0.9455963874271428,0.3253420847119795,41.0,46.5,65.0,45.0,53.45,True,True
2022-10-21,41.0,294,4,10,-0.9398560579418953,0.341570769167856,41.0,46.0,65.0,45.0,52.65,True,True
2022-10-22,41.0,295,5,10,-0.9338372288229252,0.35769823883312546,41.0,46.0,65.0,45.0,51.85,True,True
2022-10-23,41.0,296,6,10,-0.9275416835791965,0.3737197147904692,41.0,41.5,65.0,45.0,51.05,True,True
2022-10-24,41.0,297,0,10,-0.9209712877166347,0.38963044953078774,41.0,41.0,65.0,45.0,50.25,True,True
2022-10-25,41.0,298,1,10,-0.9141279881853337,0.4054257283599973,41.0,41.0,65.0,45.0,49.45,True,True
2022-10-26,41.0,299,2,10,-0.9070138128026362,0.42110087079608916,41.0,41.0,65.0,45.0,48.65,True,True
2022-10-27,41.0,300,3,10,-0.8996308696522434,0.4366512319560638,41.0,41.0,65.0,45.0,47.85,True,True
2022-10-28,41.0,301,4,10,-0.8919813464595487,0.45207220393230374,41.0,41.0,57.5,45.0,47.3,True,True
2022-10-29,41.0,302,5,10,-0.8840675099433637,0.46735921715800205,41.0,41.0,57.5,45.0,46.75,True,True
2022-10-30,41.0,303,6,10,-0.8758917051442433,0.48250774176121763,41.0,41.0,57.5,45.0,46.2,True,True
2022-10-31,41.0,304,0,10,-0.8674563547295971,0.4975132889071803,41.0,41.0,57.5,45.0,45.65,True,True
2022-11-01,41.0,305,1,11,-0.858763958275803,0.5123714121284235,41.0,41.0,57.5,43.0,45.1,True,True
2022-11-02,41.0,306,2,11,-0.8498170915275277,0.5270777086423724,41.0,41.0,57.5,43.0,44.55,True,True
2022-11-03,41.0,307,3,11,-0.8406184056344783,0.5416278206559811,41.0,41.0,57.5,43.0,44.0,True,True
2022-11-04,41.0,308,4,11,-0.8311706263658079,0.5560174366570446,41.0,41.0,57.5,41.5,43.45,True,True
2022-11-05,38.5,309,5,11,-0.8214765533024145,0.5702422926917867,41.0,41.0,52.5,40.0,42.983333333333334,True,True
2022-11-06,38.5,310,6,11,-0.8115390590073611,0.5842981736283683,38.5,41.0,51.666666666666664,40.0,42.544444444444444,True,True
2022-11-07,37.5,311,0,11,-0.801361088174677,0.5981809144059158,38.5,41.0,50.833333333333336,40.0,42.1,True,True
2022-11-08,37.5,312,1,11,-0.7909456567567774,0.6118864012687242,37.5,41.0,50.0,40.0,41.68333333333333,True,True
2022-11-09,37.5,313,2,11,-0.780295851070776,0.6254105729852457,37.5,41.0,46.5,40.0,41.38333333333333,True,True
2022-11-10,37.5,314,3,11,-0.7694148268839381,0.6387494220515268,37.5,41.0,46.5,40.0,41.083333333333336,True,True
2022-11-11,37.5,315,4,11,-0.7583058084785625,0.6518989958787125,37.5,41.0,46.5,40.0,40.78333333333333,True,True
2022-11-12,37.5,316,5,11,-0.7469720876965551,0.6648553979642866,37.5,38.5,46.5,40.0,40.483333333333334,True,True
2022-11-13,37.5,317,6,11,-0.7354170229639858,0.6776147890466887,37.5,38.5,46.0,40.0,40.2,True,True
2022-11-14,36.0,318,0,11,-0.7236440382959124,0.690173388242972,37.5,37.5,46.0,40.0,39.86666666666667,True,True
2022-11-15,36.0,319,1,11,-0.711656622281775,0.7025274741691566,36.0,37.5,41.5,40.0,39.68333333333333,True,True
2022-11-16,35.5,320,2,11,-0.6994583270516471,0.7146733860429608,36.0,37.5,41.0,40.0,39.5,True,True
2022-11-17,33.5,321,3,11,-0.6870527672236675,0.7266075247685652,35.5,37.5,41.0,40.0,39.25,True,True
2022-11-18,32.0,322,4,11,-0.6744436188329457,0.7383263540031063,33.5,37.5,41.0,40.0,38.95,True,True
2022-11-19,32.0,323,5,11,-0.661634618242279,0.749826401204568,32.0,37.5,41.0,38.0,38.65,True,True
2022-11-20,32.0,324,6,11,-0.6486295610349818,0.7611042586607742,32.0,37.5,41.0,38.0,38.35,True,True
2022-11-21,32.0,325,0,11,-0.6354323008901775,0.7721565844991641,32.0,36.0,41.0,38.0,38.05,True,True
2022-11-22,32.0,326,1,11,-0.622046748440868,0.7829801036770624,32.0,36.0,41.0,38.0,37.75,True,True
2022-11-23,32.0,327,2,11,-0.6084768701151264,0.7935716089521472,32.0,35.5,41.0,38.0,37.45,True,True
2022-11-24,31.0,328,3,11,-0.594726686960764,0.8039279618328208,32.0,33.5,41.0,38.0,37.11666666666667,True,True
2022-11-25,31.0,329,4,11,-0.5808002734538013,0.8140460935082175,31.0,32.0,41.0,38.0,36.78333333333333,True,True
2022-11-26,31.0,330,5,11,-0.5667017562911184,0.8239230057575536,31.0,32.0,41.0,38.0,36.45,True,True
2022-11-27,31.0,331,6,11,-0.5524353131676203,0.8335557718385695,31.0,32.0,41.0,38.0,36.11666666666667,True,True
2022-11-28,31.0,332,0,11,-0.5380051715382992,0.8429415373547832,31.0,32.0,41.0,38.0,35.78333333333333,True,True
2022-11-29,31.0,333,1,11,-0.5234156073655503,0.8520775211013093,31.0,32.0,41.0,38.0,35.45,True,True
2022-11-30,32.0,334,2,11,-0.5086709438521042,0.8609610158889945,31.0,32.0,41.0,38.0,35.15,True,True
2022-12-01,32.0,335,3,12,-0.49377555015997737,0.8695893893466109,32.0,31.0,41.0,38.0,34.85,True,True
2022-12-02,32.0,336,4,12,-0.4787338401157883,0.8779600847008883,32.0,31.0,41.0,37.0,34.55,True,True
2022-12-03,32.0,337,5,12,-0.4635502709028512,0.8860706215341378,32.0,31.0,41.0,37.0,34.25,True,True
2022-12-04,32.0,338,6,12,-0.4482293417404106,0.893918596519257,32.0,31.0,41.0,37.0,33.95,True,True
2022-12-05,32.0,339,0,12,-0.4327755925504317,0.9015016841318838,32.0,31.0,38.5,37.0,33.733333333333334,True,True
2022-12-06,32.0,340,1,12,-0.41719360261231697,0.9088176373395028,32.0,31.0,38.5,37.0,33.516666666666666,True,True
2022-12-07,32.0,341,2,12,-0.4014879892059737,0.9158642882672868,32.0,32.0,37.5,37.0,33.333333333333336,True,True
2022-12-08,32.0,342,3,12,-0.38566340624360745,0.9226395488404875,32.0,32.0,37.5,37.0,33.15,True,True
2022-12-09,32.0,343,4,12,-0.3697245428906732,0.9291414114031743,32.0,32.0,37.5,35.0,32.96666666666667,True,True
2022-12-10,32.0,344,5,12,-0.3536761221763721,0.935367949313148,32.0,32.0,37.5,35.0,32.78333333333333,True,True
2022-12-11,32.0,345,6,12,-0.33752289959411347,0.941317317512847,32.0,32.0,37.5,35.0,32.6,True,True
2022-12-12,32.0,346,0,12,-0.32126966169236515,0.9469877530760751,32.0,32.0,37.5,35.0,32.416666666666664,True,True
2022-12-13,32.0,347,1,12,-0.3049212246562894,0.9523775757303973,32.0,32.0,37.5,35.0,32.233333333333334,True,True
2022-12-14,32.0,348,2,12,-0.2884824328806098,0.9574851883550389,32.0,32.0,36.0,35.0,32.1,True,True
2022-12-15,32.0,349,3,12,-0.27195815753410524,0.9623090774541487,32.0,32.0,36.0,35.0,31.966666666666665,True,True
