pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_其他类
2023-01-20,10.5,20,4,1,0.3375228995941133,0.9413173175128471,10.5,10.5,12.5,11.0,11.183333333333334,True,True
2023-01-21,10.5,21,5,1,0.3536761221763716,0.9353679493131483,10.5,10.5,12.5,11.0,11.116666666666667,True,True
2023-01-22,10.5,22,6,1,0.3697245428906731,0.9291414114031743,10.5,10.5,12.5,11.0,11.05,True,True
2023-01-23,10.5,23,0,1,0.38566340624360707,0.9226395488404876,10.5,10.5,12.5,11.0,10.983333333333333,True,True
2023-01-24,10.5,24,1,1,0.401487989205973,0.9158642882672872,10.5,11.5,12.5,11.0,10.916666666666666,True,True
2023-01-25,10.5,25,2,1,0.4171936026123168,0.9088176373395029,10.5,11.0,11.5,11.0,10.883333333333333,True,True
2023-01-26,10.5,26,3,1,0.4327755925504312,0.901501684131884,10.5,10.5,11.5,11.0,10.85,True,True
2023-01-27,10.5,27,4,1,0.4482293417404106,0.893918596519257,10.5,10.5,11.5,11.0,10.816666666666666,True,True
2023-01-28,10.5,28,5,1,0.4635502709028509,0.886070621534138,10.5,10.5,11.5,11.0,10.783333333333333,True,True
2023-01-29,10.5,29,6,1,0.47873384011578846,0.8779600847008882,10.5,10.5,11.5,12.0,10.75,True,True
2023-01-30,10.5,30,0,1,0.49377555015997715,0.869589389346611,10.5,10.5,11.5,12.0,10.716666666666667,True,True
2023-01-31,10.5,31,1,1,0.5086709438521044,0.8609610158889943,10.5,10.5,11.5,12.0,10.683333333333334,True,True
2023-02-01,10.5,32,2,2,0.5234156073655503,0.8520775211013093,10.5,10.5,11.5,12.0,10.65,True,True
2023-02-02,10.5,33,3,2,0.5380051715382996,0.8429415373547828,10.5,10.5,11.5,12.0,10.616666666666667,True,True
2023-02-03,10.5,34,4,2,0.5524353131676196,0.8335557718385699,10.5,10.5,11.5,12.0,10.583333333333334,True,True
2023-02-04,10.5,35,5,2,0.5667017562911176,0.8239230057575542,10.5,10.5,11.5,12.0,10.55,True,True
2023-02-05,10.5,36,6,2,0.5808002734538009,0.8140460935082178,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-06,10.5,37,0,2,0.5947266869607634,0.8039279618328213,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-07,10.5,38,1,2,0.6084768701151261,0.7935716089521474,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-08,10.5,39,2,2,0.6220467484408675,0.7829801036770629,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-09,10.5,40,3,2,0.6354323008901774,0.7721565844991642,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-10,10.5,41,4,2,0.6486295610349814,0.7611042586607747,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-11,10.5,42,5,2,0.6616346182422783,0.7498264012045686,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-12,10.5,43,6,2,0.6744436188329455,0.7383263540031065,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-13,10.5,44,0,2,0.6870527672236669,0.7266075247685656,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-14,10.5,45,1,2,0.699458327051647,0.7146733860429609,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-15,10.5,46,2,2,0.7116566222817746,0.7025274741691571,10.5,10.5,10.5,12.0,10.55,True,True
2023-02-16,10.5,47,3,2,0.7236440382959124,0.6901733882429719,10.5,10.5,11.5,12.0,10.516666666666667,True,True
2023-02-17,10.5,48,4,2,0.7354170229639855,0.6776147890466889,10.5,10.5,11.0,12.0,10.5,True,True
2023-02-18,10.5,49,5,2,0.7469720876965552,0.6648553979642865,10.5,10.5,10.5,12.0,10.5,True,True
2023-02-19,10.5,50,6,2,0.7583058084785624,0.6518989958787126,10.5,10.5,10.5,12.0,10.5,True,True
2023-02-20,10.5,51,0,2,0.7694148268839378,0.6387494220515272,10.5,10.5,10.5,12.0,10.5,True,True
2023-02-21,10.5,52,1,2,0.7802958510707755,0.6254105729852463,10.5,10.5,10.5,12.0,10.5,True,True
