pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_散,prodPcat_UNKNOWN
2023-01-18,4.5,18,2,1,0.30492122465628907,0.9523775757303974,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-19,4.5,19,3,1,0.3212696616923644,0.9469877530760753,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-20,4.5,20,4,1,0.3375228995941133,0.9413173175128471,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-21,4.5,21,5,1,0.3536761221763716,0.9353679493131483,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-22,4.5,22,6,1,0.3697245428906731,0.9291414114031743,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-23,4.5,23,0,1,0.38566340624360707,0.9226395488404876,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-24,4.5,24,1,1,0.401487989205973,0.9158642882672872,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-25,4.5,25,2,1,0.4171936026123168,0.9088176373395029,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-26,4.5,26,3,1,0.4327755925504312,0.901501684131884,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-27,4.5,27,4,1,0.4482293417404106,0.893918596519257,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-28,4.5,28,5,1,0.4635502709028509,0.886070621534138,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-29,4.5,29,6,1,0.47873384011578846,0.8779600847008882,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-30,4.5,30,0,1,0.49377555015997715,0.869589389346611,4.5,4.5,4.5,5.0,4.5,True,True
2023-01-31,4.5,31,1,1,0.5086709438521044,0.8609610158889943,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-01,4.5,32,2,2,0.5234156073655503,0.8520775211013093,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-02,4.5,33,3,2,0.5380051715382996,0.8429415373547828,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-03,4.5,34,4,2,0.5524353131676196,0.8335557718385699,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-04,4.5,35,5,2,0.5667017562911176,0.8239230057575542,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-05,4.5,36,6,2,0.5808002734538009,0.8140460935082178,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-06,4.5,37,0,2,0.5947266869607634,0.8039279618328213,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-07,4.5,38,1,2,0.6084768701151261,0.7935716089521474,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-08,4.5,39,2,2,0.6220467484408675,0.7829801036770629,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-09,4.5,40,3,2,0.6354323008901774,0.7721565844991642,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-10,4.5,41,4,2,0.6486295610349814,0.7611042586607747,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-11,4.5,42,5,2,0.6616346182422783,0.7498264012045686,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-12,4.5,43,6,2,0.6744436188329455,0.7383263540031065,4.5,4.5,4.5,5.0,4.5,True,True
2023-02-13,4.5,44,0,2,0.6870527672236669,0.7266075247685656,4.5,4.5,4.5,5.0,4.5,True,True
