pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_里脊,prodPcat_牛肉类
2022-09-18,37.0,261,6,9,-0.9760105506323682,-0.21772323039653224,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-19,37.0,262,0,9,-0.9796136916454901,-0.20089055513063528,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-20,37.0,263,1,9,-0.9829265519799822,-0.18399835165767986,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-21,37.0,264,2,9,-0.9859481499638303,-0.1670516255021195,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-22,37.0,265,3,9,-0.9886775902323404,-0.15005539834465262,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-23,37.0,266,4,9,-0.9911140639934546,-0.13301470653419636,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-24,37.0,267,5,9,-0.9932568492674143,-0.11593459959550066,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-25,37.0,268,6,9,-0.9951053111006974,-0.09882013873287211,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-26,37.0,269,0,9,-0.99665890175417,-0.08167639533042288,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-27,37.0,270,1,9,-0.9979171608653922,-0.06450844944931625,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-28,37.0,271,2,9,-0.9988797155850335,-0.04732138832243232,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-29,37.0,272,3,9,-0.9995462806873573,-0.03012030484690836,37.0,37.0,37.0,37.0,37.0,True,True
2022-09-30,37.5,273,4,9,-0.9999166586547379,-0.012910296075008843,37.0,37.0,37.0,37.0,37.016666666666666,True,True
2022-10-01,37.5,274,5,10,-0.9999907397361901,0.004303538296243821,37.5,37.0,37.0,37.0,37.03333333333333,True,True
2022-10-02,37.5,275,6,10,-0.9997685019798909,0.021516097436222233,37.5,37.0,37.0,37.0,37.05,True,True
2022-10-03,37.0,276,0,10,-0.9992500112396835,0.03872228089217399,37.5,37.0,37.0,37.0,37.05,True,True
2022-10-04,37.0,277,1,10,-0.9984354211555643,0.05591699010060302,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-05,37.0,278,2,10,-0.9973249731081555,0.07309512989807776,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-06,37.0,279,3,10,-0.9959189961471792,0.0902516100310407,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-07,37.0,280,4,10,-0.994217906893952,0.10738134666416306,37.0,37.5,37.0,37.0,37.05,True,True
2022-10-08,37.0,281,5,10,-0.9922222094179324,0.12447926388678869,37.0,37.5,37.0,37.0,37.05,True,True
2022-10-09,37.0,282,6,10,-0.989932495087353,0.141540295217043,37.0,37.5,37.0,37.0,37.05,True,True
2022-10-10,37.0,283,0,10,-0.9873494423939864,0.15855938510313475,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-11,37.0,284,1,10,-0.9844738167520923,0.17553149042142777,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-12,37.0,285,2,10,-0.9813064702716093,0.19245158197082995,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-13,37.0,286,3,10,-0.9778483415056567,0.20931464596304888,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-14,37.0,287,4,10,-0.9741004551724206,0.22611568550828803,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-15,37.0,288,5,10,-0.970063921851507,0.2428497220959358,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-16,37.0,289,6,10,-0.965739937654855,0.25951179706979943,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-17,37.0,290,0,10,-0.9611297838723007,0.27609697309746883,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-18,37.0,291,1,10,-0.9562348265919058,0.2926003356333479,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-19,37.0,292,2,10,-0.9510565162951536,0.30901699437494723,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-20,37.0,293,3,10,-0.9455963874271428,0.3253420847119795,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-21,37.0,294,4,10,-0.9398560579418953,0.341570769167856,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-22,37.0,295,5,10,-0.9338372288229252,0.35769823883312546,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-23,37.0,296,6,10,-0.9275416835791965,0.3737197147904692,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-24,37.0,297,0,10,-0.9209712877166347,0.38963044953078774,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-25,37.0,298,1,10,-0.9141279881853337,0.4054257283599973,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-26,37.0,299,2,10,-0.9070138128026362,0.42110087079608916,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-27,37.0,300,3,10,-0.8996308696522434,0.4366512319560638,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-28,37.0,301,4,10,-0.8919813464595487,0.45207220393230374,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-29,37.0,302,5,10,-0.8840675099433637,0.46735921715800205,37.0,37.0,37.0,37.0,37.05,True,True
2022-10-30,37.0,303,6,10,-0.8758917051442433,0.48250774176121763,37.0,37.0,37.5,37.0,37.03333333333333,True,True
2022-10-31,37.0,304,0,10,-0.8674563547295971,0.4975132889071803,37.0,37.0,37.5,37.0,37.016666666666666,True,True
2022-11-01,37.0,305,1,11,-0.858763958275803,0.5123714121284235,37.0,37.0,37.5,37.0,37.0,True,True
2022-11-02,37.0,306,2,11,-0.8498170915275277,0.5270777086423724,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-03,37.0,307,3,11,-0.8406184056344783,0.5416278206559811,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-04,37.0,308,4,11,-0.8311706263658079,0.5560174366570446,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-05,37.0,309,5,11,-0.8214765533024145,0.5702422926917867,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-06,37.0,310,6,11,-0.8115390590073611,0.5842981736283683,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-07,37.0,311,0,11,-0.801361088174677,0.5981809144059158,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-08,37.0,312,1,11,-0.7909456567567774,0.6118864012687242,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-09,37.0,313,2,11,-0.780295851070776,0.6254105729852457,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-10,37.0,314,3,11,-0.7694148268839381,0.6387494220515268,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-11,37.0,315,4,11,-0.7583058084785625,0.6518989958787125,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-12,37.0,316,5,11,-0.7469720876965551,0.6648553979642866,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-13,37.0,317,6,11,-0.7354170229639858,0.6776147890466887,37.0,37.0,37.0,37.0,37.0,True,True
2022-11-14,36.0,318,0,11,-0.7236440382959124,0.690173388242972,37.0,37.0,37.0,37.0,36.96666666666667,True,True
2022-11-15,36.0,319,1,11,-0.711656622281775,0.7025274741691566,36.0,37.0,37.0,37.0,36.93333333333333,True,True
2022-11-16,36.0,320,2,11,-0.6994583270516471,0.7146733860429608,36.0,37.0,37.0,37.0,36.9,True,True
2022-11-17,36.0,321,3,11,-0.6870527672236675,0.7266075247685652,36.0,37.0,37.0,37.0,36.86666666666667,True,True
2022-11-18,36.0,322,4,11,-0.6744436188329457,0.7383263540031063,36.0,37.0,37.0,37.0,36.833333333333336,True,True
2022-11-19,36.0,323,5,11,-0.661634618242279,0.749826401204568,36.0,37.0,37.0,37.0,36.8,True,True
2022-11-20,36.0,324,6,11,-0.6486295610349818,0.7611042586607742,36.0,37.0,37.0,37.0,36.766666666666666,True,True
