pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,prodPcat_其他类
2022-09-24,44.0,267,5,9,-0.9932568492674143,-0.11593459959550066,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-25,44.0,268,6,9,-0.9951053111006974,-0.09882013873287211,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-26,44.0,269,0,9,-0.99665890175417,-0.08167639533042288,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-27,44.0,270,1,9,-0.9979171608653922,-0.06450844944931625,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-28,44.0,271,2,9,-0.9988797155850335,-0.04732138832243232,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-29,44.0,272,3,9,-0.9995462806873573,-0.03012030484690836,44.0,44.0,44.0,43.0,44.0,True,True
2022-09-30,44.0,273,4,9,-0.9999166586547379,-0.012910296075008843,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-01,44.0,274,5,10,-0.9999907397361901,0.004303538296243821,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-02,44.0,275,6,10,-0.9997685019798909,0.021516097436222233,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-03,44.0,276,0,10,-0.9992500112396835,0.03872228089217399,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-04,44.0,277,1,10,-0.9984354211555643,0.05591699010060302,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-05,44.0,278,2,10,-0.9973249731081555,0.07309512989807776,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-06,44.0,279,3,10,-0.9959189961471792,0.0902516100310407,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-07,44.0,280,4,10,-0.994217906893952,0.10738134666416306,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-08,44.0,281,5,10,-0.9922222094179324,0.12447926388678869,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-09,44.0,282,6,10,-0.989932495087353,0.141540295217043,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-10,44.0,283,0,10,-0.9873494423939864,0.15855938510313475,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-11,44.0,284,1,10,-0.9844738167520923,0.17553149042142777,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-12,44.0,285,2,10,-0.9813064702716093,0.19245158197082995,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-13,44.0,286,3,10,-0.9778483415056567,0.20931464596304888,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-14,44.0,287,4,10,-0.9741004551724206,0.22611568550828803,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-15,44.0,288,5,10,-0.970063921851507,0.2428497220959358,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-16,44.0,289,6,10,-0.965739937654855,0.25951179706979943,44.0,44.0,44.0,40.0,44.0,True,True
2022-10-17,44.0,290,0,10,-0.9611297838723007,0.27609697309746883,44.0,44.0,44.0,40.0,44.0,True,True
