pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_散装,prodPcat_干果
2022-10-02,13.15,275,6,10,-0.9997685019798909,0.021516097436222233,13.2,13.25,13.25,13.25,13.245000000000001,True,True
2022-10-03,13.1,276,0,10,-0.9992500112396835,0.03872228089217399,13.15,13.25,13.25,13.25,13.24,True,True
2022-10-04,13.05,277,1,10,-0.9984354211555643,0.05591699010060302,13.1,13.25,13.25,13.25,13.233333333333333,True,True
2022-10-05,13.0,278,2,10,-0.9973249731081555,0.07309512989807776,13.05,13.25,13.25,13.25,13.225,True,True
2022-10-06,12.95,279,3,10,-0.9959189961471792,0.0902516100310407,13.0,13.25,13.25,13.25,13.215,True,True
2022-10-07,12.9,280,4,10,-0.994217906893952,0.10738134666416306,12.95,13.25,13.25,13.25,13.203333333333335,True,True
2022-10-08,12.85,281,5,10,-0.9922222094179324,0.12447926388678869,12.9,13.2,13.25,13.25,13.19,True,True
2022-10-09,12.8,282,6,10,-0.989932495087353,0.141540295217043,12.85,13.15,13.25,13.25,13.175,True,True
2022-10-10,12.75,283,0,10,-0.9873494423939864,0.15855938510313475,12.8,13.1,13.25,13.25,13.158333333333333,True,True
2022-10-11,12.75,284,1,10,-0.9844738167520923,0.17553149042142777,12.75,13.05,13.25,13.25,13.141666666666667,True,True
2022-10-12,12.75,285,2,10,-0.9813064702716093,0.19245158197082995,12.75,13.0,13.25,13.25,13.125,True,True
2022-10-13,12.75,286,3,10,-0.9778483415056567,0.20931464596304888,12.75,12.95,13.25,13.25,13.108333333333333,True,True
2022-10-14,12.75,287,4,10,-0.9741004551724206,0.22611568550828803,12.75,12.9,13.25,13.25,13.091666666666667,True,True
2022-10-15,12.75,288,5,10,-0.970063921851507,0.2428497220959358,12.75,12.85,13.25,13.25,13.075,True,True
2022-10-16,12.75,289,6,10,-0.965739937654855,0.25951179706979943,12.75,12.8,13.25,13.25,13.058333333333334,True,True
2022-10-17,12.75,290,0,10,-0.9611297838723007,0.27609697309746883,12.75,12.75,13.25,13.25,13.041666666666666,True,True
2022-10-18,12.75,291,1,10,-0.9562348265919058,0.2926003356333479,12.75,12.75,13.25,13.25,13.025,True,True
2022-10-19,12.75,292,2,10,-0.9510565162951536,0.30901699437494723,12.75,12.75,13.25,13.25,13.008333333333333,True,True
2022-10-20,12.75,293,3,10,-0.9455963874271428,0.3253420847119795,12.75,12.75,13.25,13.25,12.991666666666667,True,True
2022-10-21,12.75,294,4,10,-0.9398560579418953,0.341570769167856,12.75,12.75,13.25,13.25,12.975,True,True
2022-10-22,12.75,295,5,10,-0.9338372288229252,0.35769823883312546,12.75,12.75,13.25,13.25,12.958333333333334,True,True
2022-10-23,12.75,296,6,10,-0.9275416835791965,0.3737197147904692,12.75,12.75,13.25,13.25,12.941666666666666,True,True
2022-10-24,12.75,297,0,10,-0.9209712877166347,0.38963044953078774,12.75,12.75,13.25,13.25,12.925,True,True
2022-10-25,12.75,298,1,10,-0.9141279881853337,0.4054257283599973,12.75,12.75,13.25,13.25,12.908333333333333,True,True
2022-10-26,12.75,299,2,10,-0.9070138128026362,0.42110087079608916,12.75,12.75,13.25,13.25,12.891666666666667,True,True
2022-10-27,12.75,300,3,10,-0.8996308696522434,0.4366512319560638,12.75,12.75,13.25,13.25,12.875,True,True
2022-10-28,12.75,301,4,10,-0.8919813464595487,0.45207220393230374,12.75,12.75,13.25,13.25,12.858333333333333,True,True
2022-10-29,12.75,302,5,10,-0.8840675099433637,0.46735921715800205,12.75,12.75,13.25,13.25,12.841666666666667,True,True
2022-10-30,12.75,303,6,10,-0.8758917051442433,0.48250774176121763,12.75,12.75,13.25,13.25,12.825,True,True
2022-10-31,12.75,304,0,10,-0.8674563547295971,0.4975132889071803,12.75,12.75,13.2,13.25,12.81,True,True
2022-11-01,12.75,305,1,11,-0.858763958275803,0.5123714121284235,12.75,12.75,13.15,13.25,12.796666666666665,True,True
2022-11-02,12.75,306,2,11,-0.8498170915275277,0.5270777086423724,12.75,12.75,13.1,13.25,12.785,True,True
2022-11-03,12.75,307,3,11,-0.8406184056344783,0.5416278206559811,12.75,12.75,13.05,13.25,12.775,True,True
2022-11-04,12.75,308,4,11,-0.8311706263658079,0.5560174366570446,12.75,12.75,13.0,13.25,12.766666666666667,True,True
2022-11-05,12.75,309,5,11,-0.8214765533024145,0.5702422926917867,12.75,12.75,12.95,13.25,12.76,True,True
