pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_鲜,prodPcat_海水鱼,prodPcat_其他类
2022-11-09,8.5,313,2,11,-0.780295851070776,0.6254105729852457,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-09,12.063106796116505,313,2,11,-0.780295851070776,0.6254105729852457,12.059466019417476,12.037621359223301,11.95388349514563,8.5,12.010315533980583,True,True,False
2022-11-10,12.066747572815533,314,3,11,-0.7694148268839381,0.6387494220515268,12.063106796116505,12.04126213592233,11.95752427184466,8.5,12.013956310679612,True,True,False
2022-11-10,8.5,314,3,11,-0.7694148268839381,0.6387494220515268,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-11,8.5,315,4,11,-0.7583058084785625,0.6518989958787125,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-11,12.070388349514563,315,4,11,-0.7583058084785625,0.6518989958787125,12.066747572815533,12.044902912621358,11.96116504854369,8.5,12.017597087378642,True,True,False
2022-11-12,8.5,316,5,11,-0.7469720876965551,0.6648553979642866,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-12,12.074029126213592,316,5,11,-0.7469720876965551,0.6648553979642866,12.070388349514563,12.048543689320388,11.964805825242719,8.5,12.02123786407767,True,True,False
2022-11-13,8.5,317,6,11,-0.7354170229639858,0.6776147890466887,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-13,12.077669902912621,317,6,11,-0.7354170229639858,0.6776147890466887,12.074029126213592,12.052184466019417,11.968446601941748,8.5,12.0248786407767,True,True,False
2022-11-14,8.5,318,0,11,-0.7236440382959124,0.690173388242972,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-14,12.08131067961165,318,0,11,-0.7236440382959124,0.690173388242972,12.077669902912621,12.055825242718447,11.972087378640778,8.666666666666666,12.02851941747573,True,True,False
2022-11-15,8.5,319,1,11,-0.711656622281775,0.7025274741691566,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-15,12.08495145631068,319,1,11,-0.711656622281775,0.7025274741691566,12.08131067961165,12.059466019417476,11.975728155339805,8.833333333333334,12.032160194174757,True,True,False
2022-11-16,12.08859223300971,320,2,11,-0.6994583270516471,0.7146733860429608,12.08495145631068,12.063106796116505,11.979368932038835,9.0,12.035800970873787,True,True,False
2022-11-16,8.5,320,2,11,-0.6994583270516471,0.7146733860429608,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-17,12.092233009708737,321,3,11,-0.6870527672236675,0.7266075247685652,12.08859223300971,12.066747572815533,11.983009708737864,9.0,12.039441747572816,True,True,False
2022-11-17,8.5,321,3,11,-0.6870527672236675,0.7266075247685652,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-18,12.095873786407767,322,4,11,-0.6744436188329457,0.7383263540031063,12.092233009708737,12.070388349514563,11.986650485436893,9.0,12.043082524271846,True,True,False
2022-11-18,8.5,322,4,11,-0.6744436188329457,0.7383263540031063,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-19,12.099514563106796,323,5,11,-0.661634618242279,0.749826401204568,12.095873786407767,12.074029126213592,11.990291262135923,9.0,12.046723300970875,True,True,False
2022-11-19,8.5,323,5,11,-0.661634618242279,0.749826401204568,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-20,12.103155339805825,324,6,11,-0.6486295610349818,0.7611042586607742,12.099514563106796,12.077669902912621,11.993932038834952,9.0,12.050364077669904,True,True,False
2022-11-20,8.5,324,6,11,-0.6486295610349818,0.7611042586607742,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-21,12.106796116504855,325,0,11,-0.6354323008901775,0.7721565844991641,12.103155339805825,12.08131067961165,11.99757281553398,9.0,12.054004854368932,True,True,False
2022-11-21,8.5,325,0,11,-0.6354323008901775,0.7721565844991641,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-22,12.110436893203884,326,1,11,-0.622046748440868,0.7829801036770624,12.106796116504855,12.08495145631068,12.00121359223301,9.0,12.057645631067961,True,True,False
2022-11-22,8.5,326,1,11,-0.622046748440868,0.7829801036770624,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-23,8.5,327,2,11,-0.6084768701151264,0.7935716089521472,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-23,12.114077669902912,327,2,11,-0.6084768701151264,0.7935716089521472,12.110436893203884,12.08859223300971,12.004854368932039,9.0,12.06128640776699,True,True,False
2022-11-24,8.5,328,3,11,-0.594726686960764,0.8039279618328208,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-24,12.117718446601941,328,3,11,-0.594726686960764,0.8039279618328208,12.114077669902912,12.092233009708737,12.008495145631068,9.0,12.06492718446602,True,True,False
2022-11-25,8.5,329,4,11,-0.5808002734538013,0.8140460935082175,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-25,12.12135922330097,329,4,11,-0.5808002734538013,0.8140460935082175,12.117718446601941,12.095873786407767,12.012135922330097,9.0,12.06856796116505,True,True,False
2022-11-26,8.5,330,5,11,-0.5667017562911184,0.8239230057575536,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-26,12.125,330,5,11,-0.5667017562911184,0.8239230057575536,12.12135922330097,12.099514563106796,12.015776699029127,9.0,12.072208737864077,True,True,False
2022-11-27,8.5,331,6,11,-0.5524353131676203,0.8335557718385695,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-27,12.12864077669903,331,6,11,-0.5524353131676203,0.8335557718385695,12.125,12.103155339805825,12.019417475728154,9.0,12.075849514563108,True,True,False
2022-11-28,12.132281553398059,332,0,11,-0.5380051715382992,0.8429415373547832,12.12864077669903,12.106796116504855,12.023058252427184,9.0,12.079490291262138,True,True,False
2022-11-28,8.5,332,0,11,-0.5380051715382992,0.8429415373547832,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-29,8.5,333,1,11,-0.5234156073655503,0.8520775211013093,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-11-29,12.135922330097088,333,1,11,-0.5234156073655503,0.8520775211013093,12.132281553398059,12.110436893203884,12.026699029126213,9.0,12.083131067961165,True,True,False
2022-11-30,12.139563106796116,334,2,11,-0.5086709438521042,0.8609610158889945,12.135922330097088,12.114077669902912,12.030339805825243,9.0,12.086771844660195,True,True,False
2022-11-30,8.5,334,2,11,-0.5086709438521042,0.8609610158889945,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-01,8.5,335,3,12,-0.49377555015997737,0.8695893893466109,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-01,12.143203883495145,335,3,12,-0.49377555015997737,0.8695893893466109,12.139563106796116,12.117718446601941,12.033980582524272,9.0,12.090412621359224,True,True,False
2022-12-02,8.5,336,4,12,-0.4787338401157883,0.8779600847008883,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-02,12.146844660194175,336,4,12,-0.4787338401157883,0.8779600847008883,12.143203883495145,12.12135922330097,12.037621359223301,9.0,12.094053398058252,True,True,False
2022-12-03,12.150485436893204,337,5,12,-0.4635502709028512,0.8860706215341378,12.146844660194175,12.125,12.04126213592233,9.0,12.097694174757283,True,True,False
2022-12-03,8.5,337,5,12,-0.4635502709028512,0.8860706215341378,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-04,8.5,338,6,12,-0.4482293417404106,0.893918596519257,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-04,12.154126213592233,338,6,12,-0.4482293417404106,0.893918596519257,12.150485436893204,12.12864077669903,12.044902912621358,9.0,12.10133495145631,True,True,False
2022-12-05,12.157766990291263,339,0,12,-0.4327755925504317,0.9015016841318838,12.154126213592233,12.132281553398059,12.048543689320388,9.0,12.10497572815534,True,True,False
2022-12-05,8.5,339,0,12,-0.4327755925504317,0.9015016841318838,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-06,8.5,340,1,12,-0.41719360261231697,0.9088176373395028,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-06,12.16140776699029,340,1,12,-0.41719360261231697,0.9088176373395028,12.157766990291263,12.135922330097088,12.052184466019417,9.0,12.10861650485437,True,True,False
2022-12-07,12.16504854368932,341,2,12,-0.4014879892059737,0.9158642882672868,12.16140776699029,12.139563106796116,12.055825242718447,9.0,12.112257281553399,True,True,False
2022-12-07,8.5,341,2,12,-0.4014879892059737,0.9158642882672868,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-08,12.16868932038835,342,3,12,-0.38566340624360745,0.9226395488404875,12.16504854368932,12.143203883495145,12.059466019417476,9.0,12.115898058252428,True,True,False
2022-12-08,8.5,342,3,12,-0.38566340624360745,0.9226395488404875,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-09,8.5,343,4,12,-0.3697245428906732,0.9291414114031743,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-09,12.172330097087379,343,4,12,-0.3697245428906732,0.9291414114031743,12.16868932038835,12.146844660194175,12.063106796116505,9.0,12.119538834951458,True,True,False
2022-12-10,8.5,344,5,12,-0.3536761221763721,0.935367949313148,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-10,12.175970873786408,344,5,12,-0.3536761221763721,0.935367949313148,12.172330097087379,12.150485436893204,12.066747572815533,9.0,12.123179611650484,True,True,False
2022-12-11,8.5,345,6,12,-0.33752289959411347,0.941317317512847,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-11,12.179611650485437,345,6,12,-0.33752289959411347,0.941317317512847,12.175970873786408,12.154126213592233,12.070388349514563,9.0,12.126820388349516,True,True,False
2022-12-12,8.5,346,0,12,-0.32126966169236515,0.9469877530760751,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-12,12.183252427184467,346,0,12,-0.32126966169236515,0.9469877530760751,12.179611650485437,12.157766990291263,12.074029126213592,9.0,12.130461165048542,True,True,False
2022-12-13,12.186893203883495,347,1,12,-0.3049212246562894,0.9523775757303973,12.183252427184467,12.16140776699029,12.077669902912621,9.0,12.134101941747572,True,True,False
2022-12-13,8.5,347,1,12,-0.3049212246562894,0.9523775757303973,8.5,8.5,8.5,8.5,8.5,True,False,True
2022-12-14,12.190533980582524,348,2,12,-0.2884824328806098,0.9574851883550389,12.186893203883495,12.16504854368932,12.08131067961165,9.0,12.137742718446601,True,True,False
2022-12-14,8.5,348,2,12,-0.2884824328806098,0.9574851883550389,8.5,8.5,8.5,8.5,8.5,True,False,True
