pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_活,specInfo_鲜,prodPcat_海水鱼,prodPcat_虾蟹类
2023-01-16,37.5,16,0,1,0.2719581575341055,0.9623090774541486,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-16,16.5,16,0,1,0.2719581575341055,0.9623090774541486,16.5,16.5,16.5,16.0,16.5,False,True,True,False
2023-01-17,37.5,17,1,1,0.288482432880609,0.9574851883550393,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-17,16.5,17,1,1,0.288482432880609,0.9574851883550393,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-17,62.320413436692505,17,1,1,0.288482432880609,0.9574851883550393,62.25581395348837,61.86821705426357,60.382428940568474,39.0,61.383720930232556,True,False,True,False
2023-01-18,37.5,18,2,1,0.30492122465628907,0.9523775757303974,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-18,16.5,18,2,1,0.30492122465628907,0.9523775757303974,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-18,62.38501291989664,18,2,1,0.30492122465628907,0.9523775757303974,62.320413436692505,61.9328165374677,60.44702842377261,39.0,61.44832041343669,True,False,True,False
2023-01-19,16.5,19,3,1,0.3212696616923644,0.9469877530760753,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-19,62.44961240310077,19,3,1,0.3212696616923644,0.9469877530760753,62.38501291989664,61.997416020671835,60.51162790697674,39.0,61.512919896640824,True,False,True,False
2023-01-19,37.5,19,3,1,0.3212696616923644,0.9469877530760753,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-20,62.514211886304906,20,4,1,0.3375228995941133,0.9413173175128471,62.44961240310077,62.06201550387597,60.576227390180875,39.0,61.57751937984496,True,False,True,False
2023-01-20,37.5,20,4,1,0.3375228995941133,0.9413173175128471,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-20,16.5,20,4,1,0.3375228995941133,0.9413173175128471,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-21,62.57881136950904,21,5,1,0.3536761221763716,0.9353679493131483,62.514211886304906,62.1266149870801,60.64082687338501,39.0,61.64211886304909,True,False,True,False
2023-01-21,37.5,21,5,1,0.3536761221763716,0.9353679493131483,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-21,16.5,21,5,1,0.3536761221763716,0.9353679493131483,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-22,37.5,22,6,1,0.3697245428906731,0.9291414114031743,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-22,16.5,22,6,1,0.3697245428906731,0.9291414114031743,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-22,62.643410852713174,22,6,1,0.3697245428906731,0.9291414114031743,62.57881136950904,62.19121447028424,60.70542635658914,39.064599483204134,61.706718346253226,True,False,True,False
2023-01-23,16.5,23,0,1,0.38566340624360707,0.9226395488404876,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-23,62.70801033591731,23,0,1,0.38566340624360707,0.9226395488404876,62.643410852713174,62.25581395348837,60.77002583979328,39.12919896640827,61.77131782945737,True,False,True,False
2023-01-23,37.5,23,0,1,0.38566340624360707,0.9226395488404876,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-24,16.5,24,1,1,0.401487989205973,0.9158642882672872,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-24,62.77260981912144,24,1,1,0.401487989205973,0.9158642882672872,62.70801033591731,62.320413436692505,60.83462532299741,39.1937984496124,61.83591731266149,True,False,True,False
2023-01-24,37.5,24,1,1,0.401487989205973,0.9158642882672872,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-25,16.5,25,2,1,0.4171936026123168,0.9088176373395029,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-25,37.5,25,2,1,0.4171936026123168,0.9088176373395029,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-25,62.837209302325576,25,2,1,0.4171936026123168,0.9088176373395029,62.77260981912144,62.38501291989664,60.899224806201545,39.258397932816536,61.900516795865634,True,False,True,False
2023-01-26,37.5,26,3,1,0.4327755925504312,0.901501684131884,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-26,16.5,26,3,1,0.4327755925504312,0.901501684131884,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-26,62.90180878552971,26,3,1,0.4327755925504312,0.901501684131884,62.837209302325576,62.44961240310077,60.96382428940568,39.32299741602067,61.96511627906977,True,False,True,False
2023-01-27,37.5,27,4,1,0.4482293417404106,0.893918596519257,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-27,16.5,27,4,1,0.4482293417404106,0.893918596519257,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-27,62.966408268733844,27,4,1,0.4482293417404106,0.893918596519257,62.90180878552971,62.514211886304906,61.02842377260981,39.3875968992248,62.0297157622739,True,False,True,False
2023-01-28,16.5,28,5,1,0.4635502709028509,0.886070621534138,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-28,63.03100775193798,28,5,1,0.4635502709028509,0.886070621534138,62.966408268733844,62.57881136950904,61.09302325581395,39.45219638242894,62.094315245478036,True,False,True,False
2023-01-28,37.5,28,5,1,0.4635502709028509,0.886070621534138,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-29,63.09560723514212,29,6,1,0.47873384011578846,0.8779600847008882,63.03100775193798,62.643410852713174,61.15762273901809,39.51679586563308,62.15891472868216,True,False,True,False
2023-01-29,37.5,29,6,1,0.47873384011578846,0.8779600847008882,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-29,16.5,29,6,1,0.47873384011578846,0.8779600847008882,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-30,63.16020671834625,30,0,1,0.49377555015997715,0.869589389346611,63.09560723514212,62.70801033591731,61.22222222222222,39.58139534883721,62.2235142118863,True,False,True,False
2023-01-30,37.5,30,0,1,0.49377555015997715,0.869589389346611,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-30,16.5,30,0,1,0.49377555015997715,0.869589389346611,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-31,37.5,31,1,1,0.5086709438521044,0.8609610158889943,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-01-31,16.5,31,1,1,0.5086709438521044,0.8609610158889943,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-01-31,63.224806201550386,31,1,1,0.5086709438521044,0.8609610158889943,63.16020671834625,62.77260981912144,61.286821705426355,39.645994832041346,62.28811369509044,True,False,True,False
2023-02-01,16.5,32,2,2,0.5234156073655503,0.8520775211013093,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-01,63.28940568475452,32,2,2,0.5234156073655503,0.8520775211013093,63.224806201550386,62.837209302325576,61.35142118863049,39.71059431524548,62.35271317829458,True,False,True,False
2023-02-01,37.5,32,2,2,0.5234156073655503,0.8520775211013093,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-02,16.5,33,3,2,0.5380051715382996,0.8429415373547828,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-02,63.354005167958654,33,3,2,0.5380051715382996,0.8429415373547828,63.28940568475452,62.90180878552971,61.41602067183462,39.775193798449614,62.417312661498705,True,False,True,False
2023-02-02,37.5,33,3,2,0.5380051715382996,0.8429415373547828,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-03,16.5,34,4,2,0.5524353131676196,0.8335557718385699,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-03,63.41860465116279,34,4,2,0.5524353131676196,0.8335557718385699,63.354005167958654,62.966408268733844,61.48062015503876,39.83979328165375,62.48191214470284,True,False,True,False
2023-02-03,37.5,34,4,2,0.5524353131676196,0.8335557718385699,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-04,63.48320413436692,35,5,2,0.5667017562911176,0.8239230057575542,63.41860465116279,63.03100775193798,61.54521963824289,39.90439276485788,62.54651162790697,True,False,True,False
2023-02-04,37.5,35,5,2,0.5667017562911176,0.8239230057575542,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-04,16.5,35,5,2,0.5667017562911176,0.8239230057575542,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-05,37.5,36,6,2,0.5808002734538009,0.8140460935082178,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-05,16.5,36,6,2,0.5808002734538009,0.8140460935082178,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-05,63.547803617571056,36,6,2,0.5808002734538009,0.8140460935082178,63.48320413436692,63.09560723514212,61.609819121447025,39.968992248062015,62.61111111111111,True,False,True,False
2023-02-06,37.5,37,0,2,0.5947266869607634,0.8039279618328213,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-06,16.5,37,0,2,0.5947266869607634,0.8039279618328213,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-06,63.6124031007752,37,0,2,0.5947266869607634,0.8039279618328213,63.547803617571056,63.16020671834625,61.674418604651166,40.03359173126615,62.67571059431524,True,False,True,False
2023-02-07,37.5,38,1,2,0.6084768701151261,0.7935716089521474,37.5,37.5,37.5,39.0,37.5,True,False,False,True
2023-02-07,63.67700258397933,38,1,2,0.6084768701151261,0.7935716089521474,63.6124031007752,63.224806201550386,61.7390180878553,40.09819121447028,62.740310077519375,True,False,True,False
2023-02-07,16.5,38,1,2,0.6084768701151261,0.7935716089521474,16.5,16.5,16.5,16.5,16.5,False,True,True,False
2023-02-08,63.741602067183464,39,2,2,0.6220467484408675,0.7829801036770629,63.67700258397933,63.28940568475452,61.80361757105943,40.16279069767442,62.80490956072351,True,False,True,False
2023-02-08,37.5,39,2,2,0.6220467484408675,0.7829801036770629,37.5,37.5,37.5,39.0,37.5,True,False,False,True
